iter	Passed	Remaining
0	291	145385
1	382	95224
2	483	80068
3	591	73365
4	702	69510
5	799	65851
6	889	62674
7	972	59811
8	1072	58511
9	1167	57217
10	1261	56060
11	1362	55397
12	1463	54829
13	1556	54033
14	1658	53624
15	1759	53238
16	1862	52902
17	1942	52019
18	2045	51791
19	2137	51301
20	2222	50688
21	2316	50328
22	2410	49998
23	2509	49780
24	2597	49344
25	2683	48922
26	2771	48548
27	2873	48435
28	2965	48160
29	3060	47951
30	3165	47883
31	3255	47608
32	3340	47274
33	3433	47055
34	3524	46829
35	3623	46704
36	3704	46358
37	3793	46117
38	3878	45843
39	3974	45707
40	4059	45443
41	4140	45145
42	4228	44943
43	4314	44711
44	4415	44650
45	4510	44514
46	4597	44312
47	4706	44318
48	4795	44138
49	4881	43929
50	4964	43709
51	5065	43642
52	5152	43458
53	5246	43328
54	5337	43184
55	5444	43169
56	5539	43052
57	5640	42987
58	5738	42889
59	5850	42901
60	5941	42761
61	6044	42702
62	6142	42607
63	6230	42447
64	6319	42289
65	6412	42164
66	6494	41972
67	6589	41864
68	6671	41673
69	6779	41643
70	6886	41611
71	6985	41525
72	7088	41460
73	7189	41387
74	7284	41277
75	7393	41246
76	7493	41167
77	7608	41166
78	7718	41131
79	7818	41047
80	7906	40899
81	7996	40762
82	8089	40644
83	8184	40531
84	8275	40403
85	8375	40318
86	8478	40247
87	8574	40142
88	8653	39963
89	8739	39811
90	8836	39714
91	8924	39579
92	9012	39442
93	9096	39289
94	9183	39149
95	9276	39038
96	9374	38946
97	9464	38825
98	9556	38707
99	9658	38634
100	9747	38508
101	9868	38506
102	9967	38420
103	10056	38292
104	10145	38164
105	10235	38046
106	10325	37926
107	10424	37835
108	10524	37751
109	10629	37687
110	10721	37572
111	10815	37468
112	10900	37332
113	10984	37191
114	11076	37081
115	11167	36968
116	11264	36875
117	11362	36784
118	11455	36676
119	11547	36565
120	11650	36493
121	11738	36370
122	11833	36270
123	11929	36172
124	12028	36085
125	12113	35954
126	12205	35847
127	12300	35746
128	12400	35663
129	12489	35546
130	12573	35415
131	12668	35317
132	12758	35206
133	12845	35086
134	12934	34971
135	13027	34868
136	13130	34790
137	13215	34666
138	13319	34591
139	13399	34456
140	13491	34350
141	13572	34217
142	13660	34102
143	13752	33998
144	13844	33894
145	13929	33773
146	14013	33651
147	14106	33549
148	14201	33453
149	14290	33343
150	14389	33258
151	14499	33197
152	14593	33097
153	14687	33000
154	14771	32878
155	14864	32778
156	14965	32695
157	15066	32611
158	15160	32514
159	15263	32435
160	15358	32338
161	15457	32251
162	15553	32157
163	15657	32079
164	15752	31982
165	15839	31870
166	15928	31760
167	16022	31663
168	16122	31576
169	16209	31465
170	16295	31353
171	16389	31254
172	16478	31146
173	16574	31053
174	16666	30951
175	16757	30849
176	16844	30738
177	16940	30644
178	17029	30539
179	17118	30432
180	17194	30304
181	17291	30213
182	17385	30115
183	17487	30032
184	17589	29949
185	17672	29833
186	17771	29746
187	17852	29627
188	17937	29516
189	18010	29385
190	18112	29301
191	18198	29193
192	18289	29093
193	18379	28990
194	18475	28897
195	18564	28794
196	18650	28685
197	18744	28589
198	18836	28491
199	18936	28404
200	19033	28312
201	19130	28221
202	19229	28133
203	19322	28036
204	19421	27947
205	19514	27850
206	19622	27775
207	19718	27681
208	19810	27583
209	19900	27481
210	19992	27383
211	20088	27289
212	20178	27189
213	20274	27095
214	20376	27010
215	20463	26905
